,name,keyword,value,category
0,meditation: a way to achieve your goals in your life,self,42,Arts and Humanities
1,meditation: a way to achieve your goals in your life,reflection,35,Arts and Humanities
2,meditation: a way to achieve your goals in your life,mind,30,Arts and Humanities
3,meditation: a way to achieve your goals in your life,life,15,Arts and Humanities
4,meditation: a way to achieve your goals in your life,practice,15,Arts and Humanities
5,meditation: a way to achieve your goals in your life,meditation,12,Arts and Humanities
6,meditation: a way to achieve your goals in your life,human,11,Arts and Humanities
7,meditation: a way to achieve your goals in your life,methodology,8,Arts and Humanities
8,meditation: a way to achieve your goals in your life,change,7,Arts and Humanities
9,meditation: a way to achieve your goals in your life,live,6,Arts and Humanities
10,meditation: a way to achieve your goals in your life,cleanse,6,Arts and Humanities
11,meditation: a way to achieve your goals in your life,quiz,6,Arts and Humanities
12,meditation: a way to achieve your goals in your life,know,5,Arts and Humanities
13,meditation: a way to achieve your goals in your life,nature,5,Arts and Humanities
14,meditation: a way to achieve your goals in your life,world,5,Arts and Humanities
15,meditation: a way to achieve your goals in your life,want,5,Arts and Humanities
16,meditation: a way to achieve your goals in your life,relationships,5,Arts and Humanities
17,meditation: a way to achieve your goals in your life,mean,5,Arts and Humanities
18,meditation: a way to achieve your goals in your life,material,5,Arts and Humanities
19,meditation: a way to achieve your goals in your life,love,4,Arts and Humanities
20,meditation: a way to achieve your goals in your life,inner,4,Arts and Humanities
21,meditation: a way to achieve your goals in your life,original,4,Arts and Humanities
22,meditation: a way to achieve your goals in your life,principle,4,Arts and Humanities
23,meditation: a way to achieve your goals in your life,false,4,Arts and Humanities
24,meditation: a way to achieve your goals in your life,people,4,Arts and Humanities
25,meditation: a way to achieve your goals in your life,worry,4,Arts and Humanities
26,meditation: a way to achieve your goals in your life,peaceful,4,Arts and Humanities
27,meditation: a way to achieve your goals in your life,repetition,4,Arts and Humanities
28,meditation: a way to achieve your goals in your life,escape,3,Arts and Humanities
29,meditation: a way to achieve your goals in your life,let,3,Arts and Humanities
30,meditation: a way to achieve your goals in your life,find,3,Arts and Humanities
31,meditation: a way to achieve your goals in your life,step,3,Arts and Humanities
32,meditation: a way to achieve your goals in your life,thoughts,3,Arts and Humanities
33,introduction to the arctic: climate,climate,21,Physical Science and Engineering
