web-scraper-order;web-scraper-start-url;link;link-href
1639224705-494;"https://www.coursera.org/search?query=free&page=12&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Matrix Algebra for EngineersThe Hong Kong University of Science and TechnologyCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.9 out of five stars. 3137 reviews4.9(3,137)56k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/matrix-algebra-engineers
1639224662-348;"https://www.coursera.org/search?query=free&page=27&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Budgeting essentials and developmentFundação Instituto de AdministraçãoCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.5 out of five stars. 177 reviews4.5(177)11k studentsIntermediate LevelIntermediate""";https://www.coursera.org/learn/budgeting-essentials-development
1639224613-177;"https://www.coursera.org/search?query=free&page=44&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"1.- El Cálculo - Modelo LinealTecnológico de MonterreyCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.8 out of five stars. 922 reviews4.8(922)41k studentsMixed LevelMixed""";https://www.coursera.org/learn/calculo-1
1639224613-176;"https://www.coursera.org/search?query=free&page=44&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"MOS TransistorsColumbia UniversityCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.6 out of five stars. 140 reviews4.6(140)37k studentsMixed LevelMixed""";https://www.coursera.org/learn/mosfet
1639224590-94;"https://www.coursera.org/search?query=free&page=52&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Explore Management Concepts through Metaphor and MusicUniversity of LondonCourseBeginner LevelBeginner""";https://www.coursera.org/learn/explore-management-concepts-through-metaphor-and-music
1639224630-231;"https://www.coursera.org/search?query=free&page=38&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Doing Business in EuropeESCP Business SchoolCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.4 out of five stars. 105 reviews4.4(105)5.1k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/doing-business-in-europe
1639224702-486;"https://www.coursera.org/search?query=free&page=13&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & ElectronicsUniversity of RochesterCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.6 out of five stars. 486 reviews4.6(486)65k studentsMixed LevelMixed""";https://www.coursera.org/learn/audio-engineering
1639224714-521;"https://www.coursera.org/search?query=free&page=9&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Practical Time Series AnalysisThe State University of New YorkCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.6 out of five stars. 1388 reviews4.6(1,388)63k studentsIntermediate LevelIntermediate""";https://www.coursera.org/learn/practical-time-series-analysis
1639224572-32;"https://www.coursera.org/search?query=free&page=58&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"The Power of Markets III: Input Markets and Promoting EfficiencyUniversity of RochesterCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.8 out of five stars. 35 reviews4.8(35)4.3k studentsMixed LevelMixed""";https://www.coursera.org/learn/market-efficiency
1639224726-561;"https://www.coursera.org/search?query=free&page=5&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Keeping up with Change: Issues for the Finance ProfessionalUniversity of LondonCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 447 reviews4.7(447)15k studentsMixed LevelMixed""";https://www.coursera.org/learn/change-for-the-finance-professional
1639224668-361;"https://www.coursera.org/search?query=free&page=25&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Cyber-Physical Systems: Modeling and SimulationUniversity of California, Santa CruzCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.6 out of five stars. 32 reviews4.6(32)6.5k studentsIntermediate LevelIntermediate""";https://www.coursera.org/learn/cyber-physical-systems-1
1639224619-198;"https://www.coursera.org/search?query=free&page=42&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Our Earth: Its Climate, History, and ProcessesUniversity of Manchester   CourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 254 reviews4.7(254)16k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/our-earth
1639224660-338;"https://www.coursera.org/search?query=free&page=28&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Architecting Smart IoT DevicesEIT Digital CourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.3 out of five stars. 200 reviews4.3(200)24k studentsIntermediate LevelIntermediate""";https://www.coursera.org/learn/iot-architecture
