,song_uri,song,artist
0,spotify:track:7xOh2WlB3L3J2fh2rtVFY0,Johanna,Geoff Zanelli
1,spotify:track:6rztuzIBEueoBWNYyhmKa4,Hong Kong,Geoff Zanelli
2,spotify:track:1XSeMdMvsZbkdRatUMd2sp,The Farmer's Daughter,Geoff Zanelli
3,spotify:track:63CpQ7ltku7C1YyBxXgo8A,The Painted Lady May Be in Play,Geoff Zanelli
4,spotify:track:0AY4PnjCPP4ZeDWX9AST7y,Spinoza,Geoff Zanelli
5,spotify:track:0Sho32TKo5wr1cD8T088eT,Los Angeles,Geoff Zanelli
6,spotify:track:3XjHx3tObIh0BMFKeEbgnH,Georgina,Geoff Zanelli
7,spotify:track:7mQEtlUgNDHLu1MWnvvOR0,Heart's a Liar,Geoff Zanelli
8,spotify:track:36w5T1dTzMcEXX9qdH3d3l,Curiously Interspersed with Erotic Dreams,Geoff Zanelli
9,spotify:track:4ibeOAfIyKB2cgJjXSZbBP,Open Your Balls,Geoff Zanelli
10,spotify:track:2BUR2k91jdDpT0EG5M1gej,"Questionable Attack, Jock",Geoff Zanelli
11,spotify:track:2E1PGOwkGVAbyYdTChEgbi,The Duke's Funeral,Geoff Zanelli
12,spotify:track:7wnAq4ZiRLop4Y4ctWBbXE,The Heist,Geoff Zanelli
13,spotify:track:0uy0YasAscbwNBXePjIYJn,Con Fuego,Geoff Zanelli
14,spotify:track:3b0eB2OQAs4dnciavl91IE,Well Spun Rumour,Geoff Zanelli
15,spotify:track:3ebiAlpvU6TaoxWSeirspm,The Auction,Geoff Zanelli
16,spotify:track:4cr94l0lLuyWOFhWWYVDsw,Epilogue,Geoff Zanelli
17,spotify:track:0Oohh5O401Dr0L5iYJGk4X,In the Bathtub,Geoff Zanelli
18,spotify:track:5hOTK9h0qcTcGpSnfJacAx,Escape - Live,Journey
19,spotify:track:4vwqhhfCn9CawrikEn1P0R,Where Were You - Live,Journey
20,spotify:track:4NU6ETkLW8KDP2DfkrWbDi,Line Of Fire - Live,Journey
21,spotify:track:712ILUsyC3ZcKNcTT73k2V,Don't Stop Believing - Live,Journey
22,spotify:track:021OJNW0IVFmJWfVHND7PU,Stone In Love / Keep On Running - Live,Journey
23,spotify:track:4Fw5cmWeHlkqeSs8BMRQrJ,Lights / Stay Awhile - Live,Journey
24,spotify:track:3QLvMm6KfogSU8MlrV93XP,Do You Recall / Loving You Is Easy - Live,Journey
25,spotify:track:4nJlTBWX5QT7Bs4hGTlL4n,Drum Solo - Live,Journey
26,spotify:track:4dmhLt72G0ta8reawBr8c9,Too Far Gone - Live,Journey
27,spotify:track:3grqdFf942oaEnzWyRLwU4,Too Late - Live,Journey
28,spotify:track:4AJF0KyfA0nOWSQVJHNFaQ,Who's Crying Now - Live,Journey
29,spotify:track:3qBMF9szxuK2lpgpV3NFdy,The Party's Over (Hopelessly In Love) - Live,Journey
30,spotify:track:5MUrFVkgIjz2RTU7KqTH7V,Wheel In The Sky - Live,Journey
31,spotify:track:2UVBANkGJSmK6S8WBcphGz,Lovin' Touchin' Squeezin' - Live,Journey
32,spotify:track:7oV4gN4ZE3OKcjW9CMjXNv,Any Way You Want It - Live,Journey
33,spotify:track:62J4dKK3j3HwaurMfBZIKj,Best 4 U,Maroon 5
34,spotify:track:6HIM6FrIlHYCoPlKkDtgXn,What Lovers Do (feat. SZA),Maroon 5
35,spotify:track:6ZvTAJHxse3tRAekHb2F7L,Wait,Maroon 5
36,spotify:track:35uMFvaiYvhFXQhb6b5WlP,Lips On You,Maroon 5
37,spotify:track:7DNby30IlXEnromzb7eHwt,Bet My Heart,Maroon 5
38,spotify:track:4IKrzxzjqZLHPpFhgc6LRF,Help Me Out (with Julia Michaels),Maroon 5
39,spotify:track:0NdErbtlEnuyPl0IFicxxZ,Who I Am (feat. LunchMoney Lewis),Maroon 5
40,spotify:track:0G4hLnZHfnRtRvFy1Xse5X,Whiskey (feat. A$AP Rocky),Maroon 5
41,spotify:track:3p1vxaIG6BDLnhJvyy2NNJ,Girls Like You,Maroon 5
42,spotify:track:1YXjPq1b892n4TQfA0k06G,Closure,Maroon 5
43,spotify:track:6VNcR602kZOjTu0gfcrgek,Denim Jacket,Maroon 5
44,spotify:track:5vCb7VydVFsquJntGlsq7g,Visions,Maroon 5
45,spotify:track:6I78lrPNzg6LpNJu4T1Hrp,Plastic Rose,Maroon 5
46,spotify:track:2nj8GB0PY5sbHjEXoWH4UR,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5
47,spotify:track:4eQ31LSLD3AbGFNdYD7el1,Cold (feat. Future),Maroon 5
48,spotify:track:2MvXdWIMTSzRXw7Q1BaQWL,Moves Like Jagger - Live In Manchester,Maroon 5
49,spotify:track:2Ogv99VSzY8Cj1ZfWrJ9fQ,Sugar - Live In Manchester,Maroon 5
50,spotify:track:7u1mDZCf1f4Ddcf3Lvibef,Daylight - Live In Manchester,Maroon 5
51,spotify:track:4ecm1JG8qK8RlB6fsMlu8I,Payphone - Live In Manchester,Maroon 5
52,spotify:track:5elwjgeSQd8U4X12hsiHuu,Maps - Live In Manchester,Maroon 5
53,spotify:track:01VdmdQXB9uVOhqfEM51Yx,Stereo Hearts - Live In Manchester,Maroon 5
54,spotify:track:1ypczR6VSkH6qhNOKEkFJx,Harder To Breathe - Live In Manchester,Maroon 5
55,spotify:track:581AMvLj797SfiK8Fi7cRd,This Love - Live In Manchester,Maroon 5
56,spotify:track:4tjJ21JqEjDzNCmo9h9tsv,Animals - Live In Manchester,Maroon 5
57,spotify:track:0ynF2svLpsCqkfcWwG03eo,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5
58,spotify:track:7kyiMsB2LxAgFOtaWtTnXJ,Stereolife,Donkeyboy
59,spotify:track:0TQMrN1R7JNixCnjrNJsLd,Ambitions,Donkeyboy
60,spotify:track:552F7aaZomreX086UZ1GWX,Awake,Donkeyboy
61,spotify:track:2e5O8Daw1I4tkXDWM5n7hq,Broke My Eyes,Donkeyboy
62,spotify:track:3QrAzcOp7jltD3VRPWlLZf,Sleep in Silence,Donkeyboy
63,spotify:track:7pH5wUeWIsYe8sLyl5gLEW,Blade Running,Donkeyboy
64,spotify:track:1jGiF6MYLiMtojXvlz8QXs,Sometimes,Donkeyboy
65,spotify:track:4Rnwhp1JBiWiwUmvcEZLba,Promise Kept,Donkeyboy
66,spotify:track:5TqSGWiZMSbLAzdK8guGj1,We Can't Hide,Donkeyboy
67,spotify:track:4qa0IgRStEoRVhze0F2nH4,Caught in a Life,Donkeyboy
68,spotify:track:61NLZ3BQ6H6sNyZsxa8zcS,Show You Off,Dan + Shay
69,spotify:track:0duhud5zavtlTucT8O3Gyx,Stop Drop + Roll,Dan + Shay
70,spotify:track:6ygusXXFME6GYPLQ0FWnyB,19 You + Me,Dan + Shay
71,spotify:track:7DcfoFfMg1nMrZjDs3Oqo6,What You Do to Me,Dan + Shay
72,spotify:track:17JLTnP760kcTwPkRZy4X9,Can't Say No,Dan + Shay
73,spotify:track:6kzEgk1U6Dxgz35JYDB6tY,First Time Feeling,Dan + Shay
74,spotify:track:7woaw2lGsdGYpCR5xFiNFa,Nothin' Like You,Dan + Shay
75,spotify:track:4RPbYKL5L2c07I7x80wNqm,Somewhere Only We Know,Dan + Shay
76,spotify:track:25BmsghHsQlBxMkh6LUER4,Parking Brake,Dan + Shay
77,spotify:track:3xQAxe24qEGBv6xrOuv6uN,I Heard Goodbye,Dan + Shay
78,spotify:track:1rcLRPBbymByHwm19i7jwJ,Party Girl,Dan + Shay
79,spotify:track:7dWjFDauc0EIitvwfEt1mp,Close Your Eyes,Dan + Shay
80,spotify:track:63ywZJe9yA8vpMHeAeQLc7,Hurricane (VIP Remix),Ofenbach
81,spotify:track:3dINYA89LWb9mucj4FkJdP,Hurricane,Ofenbach
82,spotify:track:16J2tUJHnas3qrgXGvdLmE,Intro,Admiral P
83,spotify:track:5nFh8Uuhp9PfekN53WTybO,Selvtillit & tro,Admiral P
84,spotify:track:5PprsLrgKazBcC6F6S7ocI,Hodet Kaldt,Admiral P
85,spotify:track:3DRy6XAbiGUtOUANt7zBMA,Fy faen,Admiral P
86,spotify:track:68dcyXggYd5xMMvGZEkV2r,Hatere,Admiral P
87,spotify:track:3INDvqyRuuTaCxDl6Ydjux,Skakke gi opp,Admiral P
88,spotify:track:7nlAGcxxLeANEtgYxIiWIV,En ting,Admiral P
89,spotify:track:568Ykjzese1nhuq2KmX1ux,Kallenavn,Admiral P
90,spotify:track:20ijF94RGlEGQwAsEu1mhI,Allergi,Admiral P
91,spotify:track:3AwiqhJFh11vmNR9GZw6Rp,Afrikansk Vin,Admiral P
92,spotify:track:5FlQjNjQemVBE6rfaOgklo,Kom kom,Admiral P
93,spotify:track:5ICakGeK9Gv3bxLBruIT9Z,Vakker & søt,Admiral P
94,spotify:track:0q8uwlcRQLBwltfgbYlLs9,Dama mi,Admiral P
95,spotify:track:6QVX8WQQ80iFnHQ23kHxJm,Engel,Admiral P
96,spotify:track:165XbuCP9Aew5bSbqhm1Pf,Glory Days - Intro,The Vamps
97,spotify:track:4yvPZuuN4YXX6Zov5QkVZA,Glory Days,The Vamps
98,spotify:track:71VAcuOU02SgqryLpr4qaV,Better,The Vamps
99,spotify:track:4T9u7Nu7yfoYpTZ2v3zKqq,Married In Vegas,The Vamps
100,spotify:track:5sBQqOLTNedxIznJFQEo3U,Chemicals,The Vamps
101,spotify:track:3kig2tqvrpMpZpS9lEot9i,Would You,The Vamps
102,spotify:track:4hvSlqa3E59Kslv18J9cY0,Bitter,The Vamps
103,spotify:track:7uZbPzW6xKDyTKmzasboQz,Part Of Me,The Vamps
104,spotify:track:5tfqdcTziYUascxZoby2HV,Protocol,The Vamps
105,spotify:track:1jV3pX9x1QCFix0ERaedDq,Nothing But You,The Vamps
106,spotify:track:4KL7rCbCrK5w4B4euIeK7s,Treading Water,The Vamps
107,spotify:track:2hB2Yay5HY2ANGJnFgO1bH,Married In Vegas - Acoustic,The Vamps
108,spotify:track:2EPWKtv0yQFFE5ji0Nq6vf,Better - Acoustic,The Vamps
109,spotify:track:3sf3aAJnHDlb7xJeRBsPZ9,Glory Days - Acoustic,The Vamps
110,spotify:track:51G7ovjtibJXWaf3KXWuFX,Would You - Acoustic,The Vamps
111,spotify:track:5iFE0zYOokYGgTLKwVWwy9,Chemicals - Acoustic,The Vamps
112,spotify:track:1KVsJiKlLKBs9JdtCJ4PWU,Treading Water - Acoustic,The Vamps
113,spotify:track:4g4TvqbOjxM3RqwIQbBhAe,Dangerous (feat. Sam Martin),David Guetta
114,spotify:track:3gP7XgnHQjvGDLnDm7dcY1,What I Did for Love (feat. Emeli Sandé),David Guetta
115,spotify:track:3e9bhP4zTG9n7NaiQmOupb,No Money No Love (feat. Elliphant & Ms. Dynamite),David Guetta
116,spotify:track:5nWWusyZufQoSyDDi46CZx,Lovers on the Sun (feat. Sam Martin),David Guetta
117,spotify:track:4msSzmWNsA4LXcJZmGolhq,Goodbye Friend (feat. The Script),David Guetta
118,spotify:track:1Aa5qzYECYfxtLYF05iWaE,"Lift Me Up (feat. Nico & Vinz, Ladysmith Black Mambazo)",David Guetta
119,spotify:track:7oDjezV7QAs9GsTkT9k4b3,Listen (feat. John Legend),David Guetta
120,spotify:track:5s2Mz7KxwFR6sUjvAFXoMW,Bang My Head (feat. Sia),David Guetta
121,spotify:track:3WmhtVYG8GorpEknzT8Jvn,Yesterday (feat. Bebe Rexha),David Guetta
122,spotify:track:3D10gGOdO5pbrjsfWqgttI,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta
123,spotify:track:7r72oSND8v9AdjJejBdlfc,Sun Goes Down (feat. MAGIC! & Sonny Wilson),David Guetta
124,spotify:track:5icciTRNAOUgGDK4MBGUyZ,S.T.O.P (feat. Ryan Tedder),David Guetta
125,spotify:track:4GkelasMIeT2bcnH7bcYu9,I'll Keep Loving You (feat. Birdy & Jaymes Young),David Guetta
126,spotify:track:4bGGEg2BiH0O8yxQRhi4Fx,The Whisperer (feat. Sia),David Guetta
127,spotify:track:51frTvITssOkXvJM7iwn26,Bang My Head (feat. Sia & Fetty Wap),David Guetta
128,spotify:track:7IepV7rTJYOX8P3KA9bBd3,Clap Your Hands,David Guetta
129,spotify:track:2jcR7G4B3tTnuYR2CJzCo7,Bad (feat. Vassy) - Radio Edit,David Guetta
130,spotify:track:6flXv5RQSGYMwCazxHsOE4,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta
131,spotify:track:60h8FdeudiJHhqNOwGZG86,Blast Off - Radio Edit,David Guetta
132,spotify:track:2Eb1Hk0pZGZDKeX9d6kNn9,The Death of EDM (feat. Beardyman),David Guetta
133,spotify:track:4lKaQizn2wwYisOlOMKC7P,Pelican - Edit,David Guetta
134,spotify:track:6ZmKxLKTDMRkZaAGurpSI7,Bang My Head (feat. Sia) - GLOWINTHEDARK Remix,David Guetta
135,spotify:track:7JqqIi2ktnsNkYdQhKSCrz,The Path,Lorde
136,spotify:track:7s2kWabRM60W9I61HpKg8C,Solar Power,Lorde
137,spotify:track:4TYPnvjBbEfcDkk1UxpvYB,California,Lorde
138,spotify:track:38Zs2b75JPNB2tS7O7JQnS,Stoned at the Nail Salon,Lorde
139,spotify:track:5iUnomffoLeQsdlY2k5TDU,Fallen Fruit,Lorde
140,spotify:track:1toRu029yjgrleWg2w3gNU,Secrets from a Girl (Who's Seen it All),Lorde
141,spotify:track:2mP9lPo7pv9k2HTVutEisM,The Man with the Axe,Lorde
142,spotify:track:78Sn3YMeqUgJBoe6zt940Z,Dominoes,Lorde
143,spotify:track:2qWVIatUtl2xMCHEvn4j7j,Big Star,Lorde
144,spotify:track:6vLf0MjsXzrr3WIOWK9N9j,Leader of a New Regime,Lorde
145,spotify:track:7rb4dcBfW0m1LQQcDCh4Hv,Mood Ring,Lorde
146,spotify:track:6kj8TeHSns33wt1Z1wdmMx,Oceanic Feeling,Lorde
147,spotify:track:6Iex6SKg1ItGeqVURzUZYd,Vågorna,Sabina Ddumba
148,spotify:track:3sVEYK8OspJ4P370wjH4k9,Manboy,Sabina Ddumba
149,spotify:track:4xHT4KptuCm4ZicFVL4yhC,Varför är kärleken röd,Sabina Ddumba
150,spotify:track:4Erh7BhUCXfJnuulPYuOjA,Brightside (feat. Näääk & Nimo),Sabina Ddumba
151,spotify:track:6zizXiu2Z2tNfQowceIHXj,Två mörka ögon,Sabina Ddumba
152,spotify:track:7nQW27BBL39SRBLygSZuSY,Orden i vinden,Sabina Ddumba
153,spotify:track:3OTxtkUuCMvQLpKUzbL1TS,"It's Been Hurting All the Way with You, Joanna",Sabina Ddumba
154,spotify:track:0mQ9oc8SZl7v0Xexcgvj29,Holy Grail,JAY-Z
155,spotify:track:3qTqgK6RNguXyFRB7dEppR,Picasso Baby,JAY-Z
156,spotify:track:1ak95gLfZVcAwhJtIkSoei,Tom Ford,JAY-Z
157,spotify:track:274H2QEupgq5eap63is7RQ,F*ckwithmeyouknowigotit,JAY-Z
158,spotify:track:5UxMqg83GfWnB7RowpQyHx,Oceans,JAY-Z
159,spotify:track:4ksjclc59U9mLau5QGGmep,F.U.T.W.,JAY-Z
160,spotify:track:43PmQLVX6nKbwPu4kOnRZ4,Somewhereinamerica,JAY-Z
161,spotify:track:5mqXRyxTcV4AobdGVFGGx3,Crown,JAY-Z
162,spotify:track:6X0iSdjTYetnmDtC2lrHBL,Heaven,JAY-Z
163,spotify:track:53Gzno9RlPFHA479vJ3an4,Versus,JAY-Z
164,spotify:track:3STkeeGhiwU9OoT3w59Gkj,Part II (On The Run),JAY-Z
165,spotify:track:3Nfb0HMYt0oOMMOMxg5sSv,Beach Is Better,JAY-Z
166,spotify:track:7zZpKw7dblEr20Mlhk7cJx,BBC,JAY-Z
167,spotify:track:1DbwaC3fNX86T771dbcwnQ,JAY Z Blue,JAY-Z
168,spotify:track:3hI3EK3GdUl4tdQjOsY78V,La Familia,JAY-Z
169,spotify:track:23wBGl23Ivl3OhB8DvhPvi,Nickels And Dimes,JAY-Z
170,spotify:track:5Pby79ws40BL2qVxppt9zt,I Can't Stay the Same,Vanessa Carlton
