,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.627,0.768,0,-6.449,0,0.0282,0.0406,0.0107,0.0843,0.906,113.048,audio_features,7xOh2WlB3L3J2fh2rtVFY0,spotify:track:7xOh2WlB3L3J2fh2rtVFY0,https://api.spotify.com/v1/tracks/7xOh2WlB3L3J2fh2rtVFY0,https://api.spotify.com/v1/audio-analysis/7xOh2WlB3L3J2fh2rtVFY0,264307,4
1,0.448,0.507,9,-10.181,0,0.0361,0.106,0.73,0.155,0.223,113.323,audio_features,6rztuzIBEueoBWNYyhmKa4,spotify:track:6rztuzIBEueoBWNYyhmKa4,https://api.spotify.com/v1/tracks/6rztuzIBEueoBWNYyhmKa4,https://api.spotify.com/v1/audio-analysis/6rztuzIBEueoBWNYyhmKa4,255653,4
2,0.36,0.478,10,-9.121,1,0.0342,0.0163,0.855,0.341,0.305,96.536,audio_features,1XSeMdMvsZbkdRatUMd2sp,spotify:track:1XSeMdMvsZbkdRatUMd2sp,https://api.spotify.com/v1/tracks/1XSeMdMvsZbkdRatUMd2sp,https://api.spotify.com/v1/audio-analysis/1XSeMdMvsZbkdRatUMd2sp,114293,3
3,0.446,0.78,9,-9.255,1,0.0481,0.0463,0.945,0.112,0.328,101.076,audio_features,63CpQ7ltku7C1YyBxXgo8A,spotify:track:63CpQ7ltku7C1YyBxXgo8A,https://api.spotify.com/v1/tracks/63CpQ7ltku7C1YyBxXgo8A,https://api.spotify.com/v1/audio-analysis/63CpQ7ltku7C1YyBxXgo8A,51507,4
4,0.51,0.572,9,-10.967,0,0.0539,0.0686,0.874,0.13,0.153,113.413,audio_features,0AY4PnjCPP4ZeDWX9AST7y,spotify:track:0AY4PnjCPP4ZeDWX9AST7y,https://api.spotify.com/v1/tracks/0AY4PnjCPP4ZeDWX9AST7y,https://api.spotify.com/v1/audio-analysis/0AY4PnjCPP4ZeDWX9AST7y,278493,4
5,0.641,0.698,6,-6.338,1,0.0405,0.00366,0.94,0.12,0.252,114.671,audio_features,0Sho32TKo5wr1cD8T088eT,spotify:track:0Sho32TKo5wr1cD8T088eT,https://api.spotify.com/v1/tracks/0Sho32TKo5wr1cD8T088eT,https://api.spotify.com/v1/audio-analysis/0Sho32TKo5wr1cD8T088eT,53267,3
6,0.603,0.715,9,-6.892,1,0.0384,0.000252,0.935,0.148,0.404,120.113,audio_features,3XjHx3tObIh0BMFKeEbgnH,spotify:track:3XjHx3tObIh0BMFKeEbgnH,https://api.spotify.com/v1/tracks/3XjHx3tObIh0BMFKeEbgnH,https://api.spotify.com/v1/audio-analysis/3XjHx3tObIh0BMFKeEbgnH,49880,4
7,0.378,0.552,7,-8.623,1,0.0332,0.524,2.07e-05,0.212,0.53,183.887,audio_features,7mQEtlUgNDHLu1MWnvvOR0,spotify:track:7mQEtlUgNDHLu1MWnvvOR0,https://api.spotify.com/v1/tracks/7mQEtlUgNDHLu1MWnvvOR0,https://api.spotify.com/v1/audio-analysis/7mQEtlUgNDHLu1MWnvvOR0,233080,4
8,0.47,0.707,9,-8.704,1,0.0552,0.169,0.934,0.332,0.0968,135.005,audio_features,36w5T1dTzMcEXX9qdH3d3l,spotify:track:36w5T1dTzMcEXX9qdH3d3l,https://api.spotify.com/v1/tracks/36w5T1dTzMcEXX9qdH3d3l,https://api.spotify.com/v1/audio-analysis/36w5T1dTzMcEXX9qdH3d3l,86827,4
9,0.374,0.586,9,-9.279,0,0.0842,0.123,0.567,0.141,0.272,148.596,audio_features,4ibeOAfIyKB2cgJjXSZbBP,spotify:track:4ibeOAfIyKB2cgJjXSZbBP,https://api.spotify.com/v1/tracks/4ibeOAfIyKB2cgJjXSZbBP,https://api.spotify.com/v1/audio-analysis/4ibeOAfIyKB2cgJjXSZbBP,194707,4
10,0.427,0.699,6,-9.207,0,0.0318,0.0346,0.875,0.192,0.29,114.93,audio_features,2BUR2k91jdDpT0EG5M1gej,spotify:track:2BUR2k91jdDpT0EG5M1gej,https://api.spotify.com/v1/tracks/2BUR2k91jdDpT0EG5M1gej,https://api.spotify.com/v1/audio-analysis/2BUR2k91jdDpT0EG5M1gej,280280,4
11,0.351,0.388,2,-9.855,1,0.033,0.126,0.948,0.0683,0.257,98.486,audio_features,2E1PGOwkGVAbyYdTChEgbi,spotify:track:2E1PGOwkGVAbyYdTChEgbi,https://api.spotify.com/v1/tracks/2E1PGOwkGVAbyYdTChEgbi,https://api.spotify.com/v1/audio-analysis/2E1PGOwkGVAbyYdTChEgbi,69053,4
12,0.192,0.254,5,-15.561,0,0.0396,0.612,0.857,0.101,0.0388,79.75,audio_features,7wnAq4ZiRLop4Y4ctWBbXE,spotify:track:7wnAq4ZiRLop4Y4ctWBbXE,https://api.spotify.com/v1/tracks/7wnAq4ZiRLop4Y4ctWBbXE,https://api.spotify.com/v1/audio-analysis/7wnAq4ZiRLop4Y4ctWBbXE,170507,3
13,0.549,0.733,10,-8.17,0,0.0363,0.647,0.878,0.272,0.787,119.831,audio_features,0uy0YasAscbwNBXePjIYJn,spotify:track:0uy0YasAscbwNBXePjIYJn,https://api.spotify.com/v1/tracks/0uy0YasAscbwNBXePjIYJn,https://api.spotify.com/v1/audio-analysis/0uy0YasAscbwNBXePjIYJn,151973,4
14,0.464,0.481,9,-11.59,0,0.045,0.195,0.861,0.29,0.164,103.644,audio_features,3b0eB2OQAs4dnciavl91IE,spotify:track:3b0eB2OQAs4dnciavl91IE,https://api.spotify.com/v1/tracks/3b0eB2OQAs4dnciavl91IE,https://api.spotify.com/v1/audio-analysis/3b0eB2OQAs4dnciavl91IE,214987,5
15,0.403,0.55,9,-9.495,0,0.0447,0.24,0.851,0.311,0.214,107.992,audio_features,3ebiAlpvU6TaoxWSeirspm,spotify:track:3ebiAlpvU6TaoxWSeirspm,https://api.spotify.com/v1/tracks/3ebiAlpvU6TaoxWSeirspm,https://api.spotify.com/v1/audio-analysis/3ebiAlpvU6TaoxWSeirspm,200600,4
16,0.709,0.723,2,-9.138,0,0.0338,0.0849,0.907,0.0618,0.871,136.779,audio_features,4cr94l0lLuyWOFhWWYVDsw,spotify:track:4cr94l0lLuyWOFhWWYVDsw,https://api.spotify.com/v1/tracks/4cr94l0lLuyWOFhWWYVDsw,https://api.spotify.com/v1/audio-analysis/4cr94l0lLuyWOFhWWYVDsw,74587,4
17,0.438,0.457,7,-9.456,1,0.0258,0.456,0.825,0.156,0.423,183.719,audio_features,0Oohh5O401Dr0L5iYJGk4X,spotify:track:0Oohh5O401Dr0L5iYJGk4X,https://api.spotify.com/v1/tracks/0Oohh5O401Dr0L5iYJGk4X,https://api.spotify.com/v1/audio-analysis/0Oohh5O401Dr0L5iYJGk4X,143547,4
18,0.199,0.953,4,-8.424,1,0.0805,0.0464,1.13e-06,0.966,0.0592,134.989,audio_features,5hOTK9h0qcTcGpSnfJacAx,spotify:track:5hOTK9h0qcTcGpSnfJacAx,https://api.spotify.com/v1/tracks/5hOTK9h0qcTcGpSnfJacAx,https://api.spotify.com/v1/audio-analysis/5hOTK9h0qcTcGpSnfJacAx,382261,4
19,0.144,0.971,9,-9.117,1,0.0981,0.0102,1.15e-06,0.949,0.0445,156.774,audio_features,4vwqhhfCn9CawrikEn1P0R,spotify:track:4vwqhhfCn9CawrikEn1P0R,https://api.spotify.com/v1/tracks/4vwqhhfCn9CawrikEn1P0R,https://api.spotify.com/v1/audio-analysis/4vwqhhfCn9CawrikEn1P0R,208268,4
20,0.185,0.989,0,-8.439,1,0.21,0.0684,1.58e-06,0.979,0.036,88.071,audio_features,4NU6ETkLW8KDP2DfkrWbDi,spotify:track:4NU6ETkLW8KDP2DfkrWbDi,https://api.spotify.com/v1/tracks/4NU6ETkLW8KDP2DfkrWbDi,https://api.spotify.com/v1/audio-analysis/4NU6ETkLW8KDP2DfkrWbDi,256785,4
21,0.32,0.846,4,-8.829,1,0.0707,0.229,0.0,0.906,0.178,123.342,audio_features,712ILUsyC3ZcKNcTT73k2V,spotify:track:712ILUsyC3ZcKNcTT73k2V,https://api.spotify.com/v1/tracks/712ILUsyC3ZcKNcTT73k2V,https://api.spotify.com/v1/audio-analysis/712ILUsyC3ZcKNcTT73k2V,249665,4
