song,uri,artist,cluster
Johanna,spotify:track:7xOh2WlB3L3J2fh2rtVFY0,Geoff Zanelli,306
Hong Kong,spotify:track:6rztuzIBEueoBWNYyhmKa4,Geoff Zanelli,81
The Farmer's Daughter,spotify:track:1XSeMdMvsZbkdRatUMd2sp,Geoff Zanelli,81
The Painted Lady May Be in Play,spotify:track:63CpQ7ltku7C1YyBxXgo8A,Geoff Zanelli,51
Spinoza,spotify:track:0AY4PnjCPP4ZeDWX9AST7y,Geoff Zanelli,81
Los Angeles,spotify:track:0Sho32TKo5wr1cD8T088eT,Geoff Zanelli,380
Georgina,spotify:track:3XjHx3tObIh0BMFKeEbgnH,Geoff Zanelli,51
Heart's a Liar,spotify:track:7mQEtlUgNDHLu1MWnvvOR0,Geoff Zanelli,240
Curiously Interspersed with Erotic Dreams,spotify:track:36w5T1dTzMcEXX9qdH3d3l,Geoff Zanelli,223
Open Your Balls,spotify:track:4ibeOAfIyKB2cgJjXSZbBP,Geoff Zanelli,278
"Questionable Attack, Jock",spotify:track:2BUR2k91jdDpT0EG5M1gej,Geoff Zanelli,51
The Duke's Funeral,spotify:track:2E1PGOwkGVAbyYdTChEgbi,Geoff Zanelli,81
The Heist,spotify:track:7wnAq4ZiRLop4Y4ctWBbXE,Geoff Zanelli,9
Con Fuego,spotify:track:0uy0YasAscbwNBXePjIYJn,Geoff Zanelli,44
Well Spun Rumour,spotify:track:3b0eB2OQAs4dnciavl91IE,Geoff Zanelli,81
The Auction,spotify:track:3ebiAlpvU6TaoxWSeirspm,Geoff Zanelli,81
Epilogue,spotify:track:4cr94l0lLuyWOFhWWYVDsw,Geoff Zanelli,11
In the Bathtub,spotify:track:0Oohh5O401Dr0L5iYJGk4X,Geoff Zanelli,486
Escape - Live,spotify:track:5hOTK9h0qcTcGpSnfJacAx,Journey,241
Where Were You - Live,spotify:track:4vwqhhfCn9CawrikEn1P0R,Journey,241
Line Of Fire - Live,spotify:track:4NU6ETkLW8KDP2DfkrWbDi,Journey,195
Don't Stop Believing - Live,spotify:track:712ILUsyC3ZcKNcTT73k2V,Journey,165
Stone In Love / Keep On Running - Live,spotify:track:021OJNW0IVFmJWfVHND7PU,Journey,241
Lights / Stay Awhile - Live,spotify:track:4Fw5cmWeHlkqeSs8BMRQrJ,Journey,290
Do You Recall / Loving You Is Easy - Live,spotify:track:3QLvMm6KfogSU8MlrV93XP,Journey,241
Drum Solo - Live,spotify:track:4nJlTBWX5QT7Bs4hGTlL4n,Journey,77
Too Far Gone - Live,spotify:track:4dmhLt72G0ta8reawBr8c9,Journey,121
Too Late - Live,spotify:track:3grqdFf942oaEnzWyRLwU4,Journey,241
Who's Crying Now - Live,spotify:track:4AJF0KyfA0nOWSQVJHNFaQ,Journey,38
The Party's Over (Hopelessly In Love) - Live,spotify:track:3qBMF9szxuK2lpgpV3NFdy,Journey,241
Wheel In The Sky - Live,spotify:track:5MUrFVkgIjz2RTU7KqTH7V,Journey,241
Lovin' Touchin' Squeezin' - Live,spotify:track:2UVBANkGJSmK6S8WBcphGz,Journey,195
Any Way You Want It - Live,spotify:track:7oV4gN4ZE3OKcjW9CMjXNv,Journey,241
Best 4 U,spotify:track:62J4dKK3j3HwaurMfBZIKj,Maroon 5,315
What Lovers Do (feat. SZA),spotify:track:6HIM6FrIlHYCoPlKkDtgXn,Maroon 5,157
Wait,spotify:track:6ZvTAJHxse3tRAekHb2F7L,Maroon 5,496
Lips On You,spotify:track:35uMFvaiYvhFXQhb6b5WlP,Maroon 5,84
Bet My Heart,spotify:track:7DNby30IlXEnromzb7eHwt,Maroon 5,389
Help Me Out (with Julia Michaels),spotify:track:4IKrzxzjqZLHPpFhgc6LRF,Maroon 5,221
Who I Am (feat. LunchMoney Lewis),spotify:track:0NdErbtlEnuyPl0IFicxxZ,Maroon 5,89
Whiskey (feat. A$AP Rocky),spotify:track:0G4hLnZHfnRtRvFy1Xse5X,Maroon 5,248
Girls Like You,spotify:track:3p1vxaIG6BDLnhJvyy2NNJ,Maroon 5,141
Closure,spotify:track:1YXjPq1b892n4TQfA0k06G,Maroon 5,160
Denim Jacket,spotify:track:6VNcR602kZOjTu0gfcrgek,Maroon 5,147
Visions,spotify:track:5vCb7VydVFsquJntGlsq7g,Maroon 5,115
Plastic Rose,spotify:track:6I78lrPNzg6LpNJu4T1Hrp,Maroon 5,288
Don't Wanna Know (feat. Kendrick Lamar),spotify:track:2nj8GB0PY5sbHjEXoWH4UR,Maroon 5,284
Cold (feat. Future),spotify:track:4eQ31LSLD3AbGFNdYD7el1,Maroon 5,69
Moves Like Jagger - Live In Manchester,spotify:track:2MvXdWIMTSzRXw7Q1BaQWL,Maroon 5,45
Sugar - Live In Manchester,spotify:track:2Ogv99VSzY8Cj1ZfWrJ9fQ,Maroon 5,475
Daylight - Live In Manchester,spotify:track:7u1mDZCf1f4Ddcf3Lvibef,Maroon 5,312
Payphone - Live In Manchester,spotify:track:4ecm1JG8qK8RlB6fsMlu8I,Maroon 5,312
Maps - Live In Manchester,spotify:track:5elwjgeSQd8U4X12hsiHuu,Maroon 5,36
Stereo Hearts - Live In Manchester,spotify:track:01VdmdQXB9uVOhqfEM51Yx,Maroon 5,211
Harder To Breathe - Live In Manchester,spotify:track:1ypczR6VSkH6qhNOKEkFJx,Maroon 5,172
